GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13013180501,13013180501,"Census Tract 1805.01, Barrow County, Georgia",1263,121,-,**,-,**,-,**,1269,99,1336,75,1313,947
1400000US13013180502,13013180502,"Census Tract 1805.02, Barrow County, Georgia",1043,106,-,**,-,**,935,48,1109,84,1579,575,-,**
1400000US13013180503,13013180503,"Census Tract 1805.03, Barrow County, Georgia",1084,78,-,**,-,**,-,**,1120,35,-,**,-,**
1400000US13015960101,13015960101,"Census Tract 9601.01, Bartow County, Georgia",847,123,-,**,-,**,-,**,935,621,-,**,-,**
1400000US13015960102,13015960102,"Census Tract 9601.02, Bartow County, Georgia",837,127,-,**,-,**,698,182,903,229,890,679,-,**
1400000US13015960200,13015960200,"Census Tract 9602, Bartow County, Georgia",777,62,-,**,619,143,674,116,868,54,834,476,-,**
1400000US13015960300,13015960300,"Census Tract 9603, Bartow County, Georgia",939,68,-,**,-,**,788,100,974,153,992,655,-,**
1400000US13015960401,13015960401,"Census Tract 9604.01, Bartow County, Georgia",848,50,690,108,779,82,786,51,1040,163,1472,521,1564,1175
1400000US13015960402,13015960402,"Census Tract 9604.02, Bartow County, Georgia",866,48,-,**,815,187,875,137,1010,130,-,**,-,**
1400000US13015960500,13015960500,"Census Tract 9605, Bartow County, Georgia",891,55,-,**,-,**,740,125,1042,137,882,62,-,**
1400000US13015960600,13015960600,"Census Tract 9606, Bartow County, Georgia",790,35,-,**,644,113,799,58,886,138,-,**,-,**
1400000US13015960700,13015960700,"Census Tract 9607, Bartow County, Georgia",930,57,-,**,809,160,923,123,975,88,1334,110,-,**
1400000US13015960801,13015960801,"Census Tract 9608.01, Bartow County, Georgia",892,101,-,**,-,**,881,128,865,161,-,**,-,**
1400000US13015960802,13015960802,"Census Tract 9608.02, Bartow County, Georgia",843,71,-,**,-,**,652,53,911,58,-,**,-,**
1400000US13015960803,13015960803,"Census Tract 9608.03, Bartow County, Georgia",826,59,-,**,675,161,716,50,916,150,917,673,-,**
1400000US13015960901,13015960901,"Census Tract 9609.01, Bartow County, Georgia",917,110,-,**,-,**,921,83,1089,177,786,88,-,**
1400000US13015960902,13015960902,"Census Tract 9609.02, Bartow County, Georgia",1108,245,-,**,-,**,-,**,1152,146,-,**,-,**
1400000US13015961000,13015961000,"Census Tract 9610, Bartow County, Georgia",1159,200,-,**,-,**,836,517,1163,190,-,**,-,**
1400000US13017960100,13017960100,"Census Tract 9601, Ben Hill County, Georgia",633,133,-,**,-,**,602,147,719,47,-,**,-,**
1400000US13017960200,13017960200,"Census Tract 9602, Ben Hill County, Georgia",553,73,-,**,-,**,-,**,561,43,-,**,-,**
1400000US13017960300,13017960300,"Census Tract 9603, Ben Hill County, Georgia",691,55,-,**,-,**,616,112,748,38,576,6,-,**
1400000US13017960400,13017960400,"Census Tract 9604, Ben Hill County, Georgia",587,98,-,**,-,**,656,214,567,75,-,**,-,**
1400000US13017960500,13017960500,"Census Tract 9605, Ben Hill County, Georgia",602,142,-,**,281,86,515,196,721,173,-,**,-,**
1400000US13019970100,13019970100,"Census Tract 9701, Berrien County, Georgia",449,352,-,**,-,**,420,250,443,131,918,213,-,**
1400000US13019970200,13019970200,"Census Tract 9702, Berrien County, Georgia",648,245,-,**,-,**,735,302,619,293,444,395,-,**
1400000US13019970300,13019970300,"Census Tract 9703, Berrien County, Georgia",479,181,-,**,289,185,471,242,668,164,1354,346,-,**
1400000US13019970400,13019970400,"Census Tract 9704, Berrien County, Georgia",665,70,-,**,-,**,597,186,693,117,-,**,-,**
1400000US13019970500,13019970500,"Census Tract 9705, Berrien County, Georgia",526,70,-,**,-,**,447,196,496,130,-,**,-,**
1400000US13019970600,13019970600,"Census Tract 9706, Berrien County, Georgia",633,20,-,**,761,390,610,18,700,94,798,515,-,**
1400000US13021010100,13021010100,"Census Tract 101, Bibb County, Georgia",425,177,346,84,368,100,723,152,688,291,-,**,-,**
1400000US13021010200,13021010200,"Census Tract 102, Bibb County, Georgia",724,106,409,118,534,63,821,40,1096,252,1275,315,-,**
1400000US13021010300,13021010300,"Census Tract 103, Bibb County, Georgia",648,309,-,**,-,**,588,46,969,220,-,**,-,**
1400000US13021010400,13021010400,"Census Tract 104, Bibb County, Georgia",659,140,-,**,-,**,588,236,736,230,-,**,-,**
1400000US13021010500,13021010500,"Census Tract 105, Bibb County, Georgia",278,21,-,**,228,20,293,25,483,335,930,41,-,**
1400000US13021010800,13021010800,"Census Tract 108, Bibb County, Georgia",637,76,498,68,593,55,778,95,886,286,-,**,-,**
1400000US13021011000,13021011000,"Census Tract 110, Bibb County, Georgia",675,22,-,**,495,355,685,21,1074,119,-,**,-,**
1400000US13021011100,13021011100,"Census Tract 111, Bibb County, Georgia",574,41,-,**,346,178,573,35,676,98,-,**,-,**
1400000US13021011500,13021011500,"Census Tract 115, Bibb County, Georgia",388,148,-,**,290,30,460,124,-,**,-,**,-,**
1400000US13021011701,13021011701,"Census Tract 117.01, Bibb County, Georgia",777,27,-,**,739,121,762,40,826,88,-,**,-,**
1400000US13021011702,13021011702,"Census Tract 117.02, Bibb County, Georgia",798,127,-,**,-,**,531,106,931,155,-,**,-,**
1400000US13021011800,13021011800,"Census Tract 118, Bibb County, Georgia",836,66,-,**,648,119,828,99,957,77,-,**,-,**
1400000US13021011900,13021011900,"Census Tract 119, Bibb County, Georgia",716,103,-,**,251,58,648,154,1260,696,-,**,-,**
1400000US13021012000,13021012000,"Census Tract 120, Bibb County, Georgia",1138,149,-,**,-,**,905,490,1193,227,-,**,-,**
1400000US13021012101,13021012101,"Census Tract 121.01, Bibb County, Georgia",807,158,-,**,549,210,727,87,1042,190,-,**,-,**
